cust_id,__IGNORED__,expenses
503,476,986.25
504,411,576.6
505,772,232.63
506,124,878.25
507,251,371.49
508,573,257.33
509,630,955.36
510,885,418.14
511,460,392.26
512,520,103.96
513,894,145.57
514,228,237.82
515,389,741.5
516,244,976.44
517,955,145.72
518,219,12.69
519,298,853.94
520,938,877.92
521,721,132.23
522,298,955.79
523,53,611.82
524,474,514.41
525,663,335.69
526,89,480.63
527,631,724.9
528,708,546.75
529,911,602.06
530,511,420.17
531,858,627.68
532,998,626.8
533,549,391.12
534,305,94.29
535,405,646.29
536,506,339.9
537,627,396.17
538,195,623.81
539,840,52.64
540,585,183.06
541,566,714.24
542,730,645.75
543,658,867.72
544,208,355.84
545,731,637.71
546,840,178.1
547,447,931.6
548,401,957.77
549,820,454.22
550,155,47.34
551,838,510.7
552,34,145.91
553,405,298.24
554,571,749.44
555,114,746.91
556,802,419.14
557,734,799.21
558,576,881.44
559,493,270.68
560,42,971.86
561,207,301.64
562,933,532.88
563,127,135
564,285,735.4
565,798,310.9
566,5,71.51
567,632,119.73
568,509,803.05
569,869,567.26
570,563,414.31
571,132,553.31
572,539,442.52
573,608,20.17
574,16,505.89
575,26,602.21
576,291,310.4
577,564,882.09
578,979,836.94
579,634,515.23
580,134,621.37
581,87,702.9
582,356,86.72
583,506,898.98
584,882,42.32
585,258,356.07
586,351,47.92
587,314,140.41
588,282,626.27
589,469,485.74
590,361,327.86
591,776,485.1
592,78,744.91
593,728,388.25
594,914,222.14
595,323,161.04
596,935,432.63
597,716,469.34
598,894,182.63
599,81,990.17
600,472,149.78
601,95,21.89
602,582,531.59
603,914,827.41
604,964,199.26
605,565,292.27
606,85,998.28
607,698,309.21
608,460,986.36
609,386,663.94
610,913,289.65
611,662,675.37
612,862,694.61
613,934,491.94
614,828,543.94
615,204,929.57
616,112,714.02
617,410,665.54
618,502,845.1
619,986,337.84
620,925,357.35
621,402,561.81
622,612,494.73
623,57,908
624,822,286.04
625,313,208.04
626,104,564.42
627,781,333.91
628,190,784.89
629,911,613.66
630,72,325.16
631,653,291.01
632,598,805.94
633,523,241.73
634,13,773.04
635,313,636.38
636,157,25.92
637,279,243.15
638,370,435.82
639,980,565.49
640,437,166.25
641,471,529.16
642,503,449.15
643,191,75.51
644,999,352.55
645,242,629.04
646,575,143.56
647,761,138.6
648,715,20.59
649,934,588.22
650,112,34.68
651,158,908.78
652,240,47.45
653,334,690.1
654,897,271.62
655,360,388.23
656,504,975.09
657,184,807.73
658,611,191.64
659,884,634.54
660,349,444.67
661,615,841.06
662,718,391.58
663,881,701.46
664,848,589.49
665,309,27.69
666,424,620.77
667,414,179.64
668,390,258.26
669,533,924.36
670,446,728.81
671,583,759.15
672,700,333.53
673,401,663.51
674,42,896.85
675,167,909.76
676,537,658.39
677,665,954.72
678,535,109.45
679,883,20.21
680,561,1000.39
681,334,54
682,936,696.26
683,772,472.91
684,234,282.8
685,68,77.16
686,801,471.55
687,790,731.06
688,211,292.47
689,383,274.6
690,971,775.84
691,595,465.52
692,203,704.43
693,423,533.24
694,446,443.48
695,242,344.72
696,331,759.83
697,330,24.5
698,833,782.12
699,708,700.02
700,397,676.83
701,994,418.14
702,513,389.99
703,572,946.92
704,596,866.96
705,900,960.4
706,644,735.36
707,26,97.07
708,560,938.59
709,362,991.91
710,769,30.86
711,84,599.74
712,779,328.66
713,624,658.87
714,564,761.97
715,844,400.45
716,366,873.49
717,929,448.16
718,615,714.55
719,235,607.65
720,132,173.96
721,554,749.47
722,950,967.56
723,282,805.64
724,235,890.18
725,231,115.93
726,51,681.17
727,859,550.53
728,388,209.45
729,865,804.36
730,49,394.7
731,230,701.56
732,710,721.89
733,106,231.82
734,998,702.98
735,537,319.78
736,453,153.38
737,633,167.33
738,398,662.83
739,87,30.27
740,524,906.6
741,745,601.64
742,388,874.5
743,927,67.74
744,705,213.74
745,855,796.96
746,981,368.62
747,422,724.45
748,28,399.17
749,27,211.31
750,998,501.56
751,542,90.58
752,927,600.98
753,154,359
754,890,777.6
755,815,390.48
756,422,274.24
757,830,166.29
758,255,594.82
759,222,995.46
760,241,42.86
761,172,557.85
762,524,4.65
763,460,1.56
764,302,116.68
765,520,526.63
766,635,527.1
767,878,453.56
768,208,911.52
769,585,159.2
770,858,547.13
771,892,223.13
772,88,394.04
773,306,154.17
774,516,661.06
775,916,632.33
776,925,394.75
777,537,453.09
778,447,127.45
779,687,463.32
780,940,894.82
781,151,393.22
782,767,924.32
783,91,81.48
784,138,204.96
785,498,187.55
786,771,183.15
787,556,47.64
788,644,849.16
789,240,59.1
790,836,531.63
791,434,336.4
792,539,812.56
793,269,292.31
794,698,424.03
795,871,209.1
796,753,911.74
797,512,418.98
798,745,591.21
799,78,793.03
800,56,941.65
801,82,414.51
802,228,17.45
803,201,58.65
804,361,684.88
805,486,949.22
806,865,228.67
807,423,926.66
808,840,1.47
809,31,838.77
810,13,834.42
811,518,598.55
812,384,493.21
813,512,675.66
814,833,982.57
815,178,7.89
816,626,291.8
817,634,848.02
818,454,108.04
819,735,32.6
820,154,765.41
821,123,373.25
822,787,684.34
823,182,593.35
824,809,232.23
825,76,49.99
826,586,624.25
827,685,446
828,502,737.3
829,120,482.56
830,826,315.71
831,277,393.91
832,616,95.4
833,978,392.9
834,239,768.9
835,747,144.32
836,595,821.37
837,278,250.42
838,833,287.11
839,570,119.35
840,447,922.96
841,800,472.89
842,186,396.3
843,273,379.92
844,63,108.69
845,861,479.03
846,16,484.58
847,895,268.39
848,574,839.73
849,781,666.07
850,10,670.45
851,598,377.53
852,563,854.08
853,435,363.21
854,482,908.55
855,765,943.72
856,920,670.11
857,868,643.28
858,498,515.7
859,523,515.5
860,375,77.58
861,207,782.94
862,358,757.06
863,611,419.39
864,933,936.5
865,836,602.95
866,727,682.29
867,924,172.13
868,51,570.03
869,360,934.86
870,770,483.94
871,188,654.21
872,224,910.64
873,392,531.72
874,994,678.73
875,650,949.68
876,411,552.88
877,611,691.69
878,820,525.36
879,263,240.21
880,616,468.24
881,131,452.6
882,541,226.45
883,500,601.55
884,337,654.51
885,884,418.74
886,161,25.75
887,571,772.23
888,487,893.51
889,402,969.17
890,749,173.37
891,376,251.74
892,290,977.44
893,285,654.11
894,309,797.77
895,466,22.25
896,997,417.04
897,505,189.8
898,289,80.32
899,78,932.4
900,229,484.21
901,475,793.64
902,779,757.91
903,445,16.17
904,122,269.46
905,904,537.9
906,591,847.57
907,414,646.61
908,533,599.43
909,854,932.49
910,394,131.49
911,392,51.35
912,952,983.58
913,921,2.57
914,753,545.6
915,898,399.86
916,655,539.6
917,729,545.46
918,443,160.4
919,818,738.3
920,942,920.08
921,726,790.83
922,650,227.49
923,547,439.17
924,469,712.36
925,485,73.14
926,283,542.63
927,407,40
928,24,83.26
929,341,895.87
930,920,915.51
931,527,832.61
932,957,904.75
933,718,998.03
934,408,877.95
935,617,990.42
936,496,890.12
937,614,530.49
938,343,691.95
939,739,226.44
940,759,990.5
941,941,335.52
942,257,740.1
943,554,884.46
944,96,711.64
945,612,21.93
946,868,269.84
947,349,539.54
948,278,549.51
949,113,978.27
950,506,217.97
951,900,494.36
952,236,796.67
953,786,409.03
954,412,125.34
955,414,725.34
956,329,590.53
957,461,814.15
958,887,615.77
959,150,3.49
960,149,552.22
961,879,463.26
962,320,118.1
963,854,721.9
964,947,150.56
965,161,646.09
966,662,451.43
967,212,741.13
968,958,419.33
969,453,300.43
970,316,751.66
971,747,729.35
972,531,305.61
973,878,880.11
974,514,9.2
975,479,841.35
976,392,283.77
977,706,452.09
978,536,756.52
979,509,587.58
980,416,666.24
981,483,786.29
982,661,613.31
983,283,824.91
984,956,807.09
985,908,266.55
986,706,858.04
987,845,578.83
988,15,787.8
989,202,317.79
990,661,256.42
991,787,84.73
992,881,758.4
993,525,614.25
994,693,700.49
995,729,627.16
996,580,731.1
997,939,405.41
998,372,587.87
999,105,198.56
1000,808,868.73
1001,198,655.48
1002,500,473.17
1003,381,265.7
1004,382,234.34
1005,472,285.54
1006,521,963.18
1007,834,748.36
1008,44,656.91
1009,469,630.86
1010,342,276.39
1011,390,811.48
1012,690,721.48
1013,949,791.3
1014,330,796.79
1015,348,520.47
1016,211,897.47
1017,625,506.15
1018,363,763.9
1019,201,205.99
1020,261,405.75
1021,74,727.28
1022,320,407.87
1023,851,123.47
1024,121,295.43
1025,154,718.62
1026,930,741.77
1027,468,171.09
1028,117,52.04
1029,320,490.55
1030,326,419
1031,787,23.62
1032,648,513.11
1033,839,900.76
1034,291,283.44
1035,884,822.97
1036,780,239.79
1037,853,5.94
1038,708,70.8
1039,437,614.17
1040,279,361.91
1041,103,975.59
1042,399,329.04
1043,757,712.01
1044,530,259.05
1045,501,64.8
1046,668,500.8
1047,992,301.4
1048,839,610.47
1049,468,564.96
1050,299,952.77
1051,143,622.56
1052,723,565.32
1053,829,363.05
1054,741,534.78
1055,853,474.25
1056,357,901.75
1057,427,984.68
1058,105,169.28
1059,432,785.92
1060,963,376.35
1061,126,898.03
1062,227,109.06
1063,837,847.65
1064,624,123.13
1065,592,581.2
1066,915,574.19
1067,865,171.28
1068,526,917.74
1069,440,431.03
1070,129,727.39
1071,111,827.84
1072,681,940.81
1073,931,767.23
1074,900,900.64
1075,725,993.93
1076,203,872.11
1077,419,267.95
1078,746,643.31
1079,164,26.53
1080,126,902.74
1081,911,307.78
1082,389,163.13
1083,201,58.96
1084,635,85.57
1085,414,268.45
1086,405,195.25
1087,707,192.71
1088,274,63.77
1089,373,418.45
1090,678,223.51
1091,507,96.01
1092,552,318.17
1093,556,624.65
1094,664,668.78
1095,147,557.21
1096,814,207.47
1097,783,867.85
1098,610,615.13
1099,114,665.69
1100,635,499.32
1101,538,572.74
1102,677,846.08
1103,912,7.44
1104,773,60.05
1105,409,834.3
1106,603,911.42
1107,357,742.83
1108,463,309.4
1109,496,413.26
1110,45,258.47
1111,862,595.33
1112,946,73.33
1113,630,245.84
1114,491,660.18
1115,1,208.91
1116,466,179.1
1117,991,676.85
1118,597,96.72
1119,885,416.91
1120,643,887.33
1121,261,143.39
1122,929,880.58
1123,934,168.61
1124,126,583.85
1125,197,876.56
1126,668,451.91
1127,442,251.72
1128,947,587.55
1129,31,326.1
1130,309,646.09
1131,644,975.07
1132,286,48.05
1133,723,955.04
1134,674,715.41
1135,22,881.73
1136,266,157.82
1137,813,140.26
1138,434,82.19
1139,182,922.49
1140,35,483.97
1141,961,362.33
1142,448,832.52
1143,158,874.13
1144,670,950.63
1145,157,933.16
1146,983,606.18
1147,175,890.06
1148,365,125.9
1149,864,564.29
1150,264,729.79
1151,731,150.44
1152,550,666.68
1153,40,537.2
1154,562,665.22
1155,995,593.84
1156,320,642.53
1157,883,390.17
1158,22,203.47
1159,370,615.55
1160,540,751.11
1161,462,358.02
1162,816,422.81
1163,624,213.31
1164,89,859.66
1165,435,954.55
1166,802,206.03
1167,770,297.69
1168,129,62.42
1169,146,50.81
1170,414,153.97
1171,742,187.65
1172,34,20.81
1173,990,467.25
1174,430,575.31
1175,364,839.87
1176,5,949.55
1177,193,891.15
1178,978,180.15
1179,583,646.55
1180,61,111.04
1181,270,62.97
1182,794,567.01
1183,817,721.57
1184,403,377.85
1185,284,475.1
1186,562,794.32
1187,582,173.76
1188,487,898.3
1189,20,920.85
1190,388,274.8
1191,722,571.78
1192,53,317.76
1193,923,978.9
1194,766,966.84
1195,730,113.93
1196,909,71.72
1197,211,552.54
1198,88,406
1199,71,890.38
1200,232,694.75
1201,14,868.56
1202,861,820
1203,391,231.52
1204,341,871.86
1205,725,677.3
1206,620,47.93
1207,144,405.88
1208,376,426.09
1209,928,322.4
1210,679,569.27
1211,666,877.6
1212,214,257.87
1213,192,759.2
1214,30,973.34
1215,782,336.16
1216,496,256.6
1217,487,666.64
1218,86,183.53
1219,761,749.66
1220,948,563.95
1221,551,669.93
1222,739,379.89
1223,397,121.99
1224,367,373.25
1225,584,949.34
1226,44,692.11
1227,326,532.61
1228,801,412.98
1229,995,858.89
1230,987,678.97
1231,778,542.25
1232,294,711.3
1233,931,204.05
1234,187,69.96
1235,665,874.27
1236,40,823.88
1237,466,746.68
1238,233,989
1239,394,334.12
1240,412,981.95
1241,548,677.03
1242,523,132.55
1243,127,700.61
1244,243,986.41
1245,548,454.19
1246,402,162.72
1247,40,333.21
1248,789,939.05
1249,147,298.69
1250,894,239.45
1251,765,838.52
1252,889,63.32
1253,765,368.45
1254,278,963.71
1255,486,427.05
1256,308,674.66
1257,412,737.41
1258,480,714.44
1259,354,36.04
1260,836,686.61
1261,380,507.79
1262,934,804.03
1263,249,596.66
1264,173,459.84
1265,340,162.57
1266,55,94.63
1267,755,157.7
1268,363,640.25
1269,846,177.97
1270,318,15.18
1271,715,408.44
1272,574,926.56
1273,575,100.36
1274,875,880.41
1275,667,485.36
1276,570,755.03
1277,169,605.79
1278,418,55.67
1279,908,686.05
1280,590,447.94
1281,547,232.23
1282,99,252.79
1283,93,561.1
1284,348,633.85
1285,908,923.52
1286,82,309.99
1287,353,912.44
1288,428,385.09
1289,458,318.95
1290,904,445.95
1291,443,546.35
1292,601,169.67
1293,443,651.14
1294,50,815.23
1295,222,284.8
1296,324,203.06
1297,93,512.66
1298,530,768.72
1299,251,372.16
1300,602,3.56
1301,680,506.48
1302,2,509.56
1303,10,624.29
1304,124,841.72
1305,942,943.14
1306,472,543.54
1307,738,89.62
1308,995,294.73
1309,399,826.61
1310,942,543.13
1311,462,860.95
1312,327,165.84
1313,905,458.16
1314,652,218.38
1315,717,967.93
1316,587,265.94
1317,759,1.99
1318,355,213.14
1319,559,588.16
1320,811,560.88
1321,49,724.59
1322,123,505.07
1323,944,420.6
1324,350,696.59
1325,825,706.03
1326,881,654.18
1327,799,50.35
1328,388,560.88
1329,938,829.75
1330,517,542.95
1331,965,312.94
1332,170,929.09
1333,730,579.58
1334,400,628.8
1335,74,879.91
1336,779,918.34
1337,528,95.72
1338,145,799.58
1339,840,638.55
1340,238,951.43
1341,210,695.4
1342,114,136.99
1343,924,663.51
1344,856,114.12
1345,716,694.9
1346,547,107.76
1347,338,385.11
1348,239,846.01
1349,105,73.15
1350,16,172.61
1351,84,38.29
1352,424,178.17
1353,294,709.69
1354,522,200.65
1355,402,704.61
1356,273,534.53
1357,90,329.87
1358,328,221.08
1359,657,390.4
1360,421,935.41
1361,759,868.63
1362,868,973.99
1363,102,892.05
1364,762,522.16
1365,200,619.34
1366,596,556.31
1367,880,449.67
1368,647,414.75
1369,84,196.99
1370,185,511.87
1371,108,125.02
1372,960,560.39
1373,809,100.69
1374,142,959.23
1375,705,271.49
1376,867,852.98
1377,947,756.63
1378,293,162.24
1379,42,655.42
1380,217,856.35
1381,233,781.36
1382,912,831.49
1383,7,453.78
1384,245,416.01
1385,888,332.09
1386,37,107.1
1387,667,455.19
1388,35,866.27
1389,820,385.89
1390,682,188.27
1391,209,248.29
1392,264,215.06
1393,404,55.87
1394,673,566.64
1395,693,97.82
1396,575,453.05
1397,782,286.39
1398,920,79.45
1399,85,13.45
1400,690,228.02
1401,952,822.37
1402,302,525.84
1403,529,85.99
1404,688,450.23
1405,606,655.58
1406,29,789.6
1407,444,853.58
1408,878,850.49
1409,142,854.84
1410,638,802.75
1411,960,314.32
1412,527,935.74
1413,677,15.51
1414,945,910.41
1415,163,115.71
1416,407,107.43
1417,887,346.62
1418,294,662.74
1419,192,722.79
1420,198,888.24
1421,959,440.27
1422,527,892.3
1423,961,469.07
1424,144,457.1
1425,437,463.91
1426,868,523.07
1427,39,851.8
1428,73,837.29
1429,143,318.24
1430,48,269.21
1431,39,863.51
1432,502,199.26
1433,973,282.81
1434,255,263.59
1435,492,155.85
1436,760,983.71
1437,671,721.78
1438,164,779.62
1439,729,433.95
1440,71,338.22
1441,728,923.02
1442,37,829.02
1443,657,361.41
1444,505,342.63
1445,714,413.22
1446,88,673.68
1447,932,790.2
1448,436,300.17
1449,365,293.53
1450,570,212.16
1451,523,615.46
1452,234,838.25
1453,152,818.9
1454,728,145.56
1455,606,162.22
1456,911,38.9
1457,802,293.49
1458,659,734.63
1459,288,669.34
1460,856,135.63
1461,947,456.49
1462,167,416.52
1463,777,196.98
1464,503,6.42
1465,667,279.62
1466,404,486.96
1467,671,961.44
1468,152,560.78
1469,293,216.12
1470,848,32.06
1471,585,926.49
1472,476,523.42
1473,709,572.17
1474,851,340.81
1475,509,569.37
1476,611,490.55
1477,302,609.71
1478,340,957.54
1479,377,155.57
1480,751,433.24
1481,661,519.02
1482,395,228.58
1483,238,907.45
1484,568,317.63
1485,506,982.25
1486,240,607.74
1487,554,873.3
1488,290,670.61
1489,376,397.69
1490,163,986.52
1491,864,554.5
1492,70,889.66
1493,845,55.89
1494,537,223.33
1495,682,815.02
1496,488,212.01
1497,202,772.6
1498,860,423.21
1499,251,724.16
1500,489,289.7
1501,385,297.58
1502,776,530.58
1503,343,65.8
1504,563,899.07
1505,990,40.53
1506,442,583.76
1507,483,635.75
1508,689,232.55
1509,704,961.18
1510,422,343.72
1511,220,893.19
1512,933,719.13
1513,156,473.92
1514,622,758.99
1515,718,969.47
1516,679,954.92
1517,319,110.56
1518,58,3.04
1519,755,904.87
1520,532,18.91
1521,229,121.87
1522,245,628.06
1523,768,365.22
1524,141,368.36
1525,766,834.07
1526,733,277.06
1527,391,347.02
1528,981,210.89
1529,3,61.62
1530,42,407.6
1531,250,516.46
1532,510,852.62
1533,582,910.88
1534,493,401.35
1535,791,736.41
1536,620,651.41
1537,217,169.26
1538,560,171.64
1539,400,120.4
1540,38,608.95
1541,893,18.69
1542,725,824.62
1543,722,441.72
1544,657,246.76
1545,930,790.93
1546,207,583.74
1547,230,274.09
1548,11,90.58
1549,611,526.8
1550,219,438.74
1551,932,510.38
1552,883,273.01
1553,71,198.09
1554,143,996.55
1555,104,35.61
1556,601,608.12
1557,41,923.08
1558,225,654.56
1559,997,546.21
1560,682,528.3
1561,417,531.03
1562,94,888.43
1563,232,710.04
1564,665,728.27
1565,740,630.72
1566,284,511.59
1567,614,297.4
1568,229,38.73
1569,866,788.02
1570,749,165.07
1571,164,291.92
1572,661,715.38
1573,896,425
1574,340,593.18
1575,671,989.71
1576,831,599.36
1577,466,924.12
1578,732,286.11
1579,598,77.01
1580,766,265.87
1581,153,435.59
1582,659,225
1583,914,759.35
1584,974,563.08
1585,638,178.29
1586,957,826.44
1587,150,557.64
1588,392,48.5
1589,402,941.44
1590,122,853.52
1591,312,570.29
1592,111,761.77
1593,591,403.17
1594,744,736.08
1595,26,792.67
1596,939,907.57
1597,731,984.14
1598,379,330.11
1599,330,842.5
1600,884,53.12
1601,624,50.96
1602,628,576.81
1603,690,754.05
1604,891,42.82
1605,405,423.11
1606,199,930.53
1607,9,350.19
1608,371,952.88
1609,140,47.21
1610,816,453.2
1611,213,58.94
1612,12,212.76
1613,593,656.95
1614,485,361.78
1615,46,790.42
1616,982,683.25
1617,522,94.41
1618,570,881.63
1619,322,624.07
1620,165,289.14
1621,884,714.77
1622,1000,363.46
1623,873,179
1624,640,108.72
1625,342,560.98
1626,319,163.48
1627,912,849.18
1628,275,532.95
1629,905,530.63
1630,279,573.36
1631,16,795.33
1632,961,430.02
1633,406,947.45
1634,61,671.51
1635,537,521.14
1636,516,444.67
1637,918,858.78
1638,631,80.54
1639,450,167.97
1640,29,980.67
1641,299,386.68
1642,268,146.75
1643,666,471.78
1644,463,456
1645,701,510.13
1646,427,691.22
1647,225,421.29
1648,354,556.86
1649,304,490.9
1650,421,794.73
1651,1000,224.57
1652,369,327.16
1653,290,155.18
1654,814,167.78
1655,490,362.61
1656,789,871.25
1657,476,400.18
1658,647,115.96
1659,78,319.03
1660,551,753.69
1661,951,250.86
1662,611,344.07
1663,524,916.33
1664,444,568.8
1665,806,492.55
1666,648,419.21
1667,345,808.83
1668,582,342.2
1669,4,594.47
1670,173,161.5
1671,115,813.2
1672,421,19.69
1673,138,945.5
1674,388,665.43
1675,144,943.98
1676,858,735.86
1677,629,44.2
1678,844,429.71
1679,683,863.64
1680,410,539.56
1681,781,342.12
1682,400,114.75
1683,786,288.14
1684,234,924.77
1685,495,293.47
1686,679,470.44
1687,621,882.5
1688,654,93.55
1689,352,679.13
1690,474,414.68
1691,467,995.38
1692,62,911.73
1693,579,818.63
1694,743,277.5
1695,60,822.22
1696,611,690.02
1697,750,111.08
1698,160,567.23
1699,232,21.67
1700,98,227.36
1701,558,585.29
1702,190,125.68
1703,845,310.77
1704,741,552.86
1705,241,590.94
1706,879,576.38
1707,949,46.65
1708,127,729.53
1709,93,49.37
1710,371,374.72
1711,988,563.63
1712,197,961.16
1713,732,917.21
1714,244,587.87
1715,335,199.86
1716,159,164.67
1717,599,330.18
1718,393,36.32
1719,306,495.2
1720,264,274.8
1721,261,559.09
1722,531,62.92
1723,614,990.57
1724,325,882.04
1725,928,627.79
1726,439,321.4
1727,499,335.32
1728,828,615.9
1729,879,762.55
1730,621,951.36
1731,987,544.66
1732,26,523.9
1733,658,185.84
1734,347,681.04
1735,424,301.06
1736,797,27.77
1737,167,749.63
1738,550,995.45
1739,899,597.61
1740,424,184.1
1741,418,132.63
1742,927,599.05
1743,937,189.84
1744,952,217.13
1745,109,645.28
1746,981,268.48
1747,194,355.36
1748,540,938.36
1749,986,239.07
1750,38,544.24
1751,868,869.52
1752,411,812.39
1753,176,660.4
1754,558,758.21
